rank,config,cum_return,positions,pos_per_week,net_per_pos,raw_per_week,cap_feasible_wk,weekly_sd,nw_t_vs_baseline,weeks_won_vs_baseline,mtm_marked_pct,open_at_horizon_frac
1,proxy_clv|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,86070.52523435252,3221,134.20833333333334,26.72167812305263,3586.2718847646884,3586.271884764689,4481.807639835844,3.268721790498127,18,0.9509469108972368,0.10400496740142813
2,proxy_clv|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,85889.42028910507,3221,134.20833333333334,26.66545181282368,3578.725845379378,3578.7258453793784,4480.859641701953,3.263003431319398,17,0.9509469108972368,0.10400496740142813
3,t_stat_baseline|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,78029.06012856927,3114,129.75,25.057501646939393,3251.210838690386,3251.210838690386,3453.4391361288313,3.2992329737988046,17,0.9447655748233783,0.10950545921644188
4,t_stat_baseline|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,77884.90505017265,3114,129.75,25.011209071988645,3245.204377090527,3245.2043770905266,3452.142636014409,3.294362405092261,17,0.9447655748233783,0.10950545921644188
5,t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,194032.79634683044,35731,1488.7916666666667,5.4303768813307896,8084.699847784602,3193.0616062225045,9049.3784598316,3.1565306279243925,24,0.9949063838123757,0.015952534213987853
6,t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,193912.79634683044,35731,1488.7916666666667,5.427018453075213,8079.699847784602,3191.0868504082255,9050.03159623574,3.154206422867305,24,0.9949063838123757,0.015952534213987853
7,t_stat_baseline|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,198087.49093570112,38186,1591.0833333333333,5.1874375670586375,8253.645455654214,3050.2132894304787,8820.21890304171,3.3022455063693585,24,0.9897868328706856,0.034934269103860056
8,t_stat_baseline|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,197969.74093570112,38186,1591.0833333333333,5.184353976213825,8248.739205654214,3048.4001380137292,8820.806803980697,3.2999713059477984,24,0.9897868328706856,0.034934269103860056
9,t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,206533.89288346312,41054,1710.5833333333333,5.030786108137164,8605.578870144296,2958.1022315846526,9195.118617522707,3.400916389872237,24,0.9885029473376529,0.051931602279924
10,t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,206417.64288346312,41054,1710.5833333333333,5.0279544717558124,8600.735120144296,2956.4372293924175,9195.739738915976,3.3986691616671454,24,0.9885029473376529,0.051931602279924
