config,cum_return,mean,sr,n_obs,skew,kurt,se,proxy_clv_tstat,proxy_clv_cov,true_clv_tstat,true_clv_cov
gu_koenker_npmle|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,209866.85531309783,8744.45230471241,0.9467750618893559,24,1.1745675433454592,3.1405144160911838,1885.2987621566774,9.462205695838188,0.9994679669861949,0.19936740245506984,0.020170990784262925
gu_koenker_npmle|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,209719.85531309783,8738.32730471241,0.9460144093843761,24,1.1743833714387248,3.1401075809440226,1885.4930476080413,9.462205695838188,0.9994679669861949,0.19936740245506984,0.020170990784262925
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,208471.55220164868,8686.314675068696,0.9555647975010597,24,1.2436632925927857,3.280964626734793,1855.5377541123937,10.331341207054468,0.9991397881634851,2.687625317211462,0.05232331996888277
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,208333.55220164868,8680.564675068696,0.9548608720877135,24,1.2433681218961035,3.2802501210459845,1855.6764615925417,10.331341207054468,0.9991397881634851,2.687625317211462,0.05232331996888277
t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,206533.89288346312,8605.578870144296,0.9358855745204905,24,1.401353161181886,3.7877980518147822,1876.9457281080424,10.599854389211858,0.9987471622754548,3.7789390692428935,0.06943358547085032
t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,206417.64288346312,8600.735120144296,0.9352956221397126,24,1.40129991299178,3.7875249898339365,1877.0725139815288,10.599854389211858,0.9987471622754548,3.7789390692428935,0.06943358547085032
proxy_clv|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,199302.8793709237,8304.286640455155,0.8795630990769157,24,1.1587930512583573,3.1052363047586993,1927.2129697378582,11.0112214223119,0.9987236456462135,4.311593681351482,0.19369386404462513
proxy_clv|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,199203.1293709237,8300.130390455155,0.8790794687171952,24,1.158572549902361,3.104762243792011,1927.3081462562159,11.0112214223119,0.9987236456462135,4.311593681351482,0.19369386404462513
t_stat_baseline|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,198087.49093570112,8253.645455654214,0.9357642419518512,24,1.3086376063935605,3.5720843870625134,1800.419644341914,10.18132603364602,0.9987595250753145,3.2611986522739893,0.03436954960500667
t_stat_baseline|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,197969.74093570112,8248.739205654214,0.9351456605910111,24,1.3085895587141494,3.5720360878823247,1800.5396491185654,10.18132603364602,0.9987595250753145,3.2611986522739893,0.03436954960500667
proxy_clv|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,197355.75387972675,8223.156411655282,0.8866794813090441,24,1.1721055638006939,3.130493422737597,1893.0682495996207,10.586481284841854,0.9987544250688344,3.4423082500764166,0.13023281949465246
proxy_clv|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,197251.50387972675,8218.812661655282,0.8861756032964291,24,1.1719420075091111,3.1300574995285353,1893.144093722672,10.586481284841854,0.9987544250688344,3.4423082500764166,0.13023281949465246
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,194940.27342331584,8122.51139263816,0.8561963209816924,24,1.160532177621152,3.078563029701867,1936.4725758899194,9.843693060908555,0.9991917857318556,1.2359576752234491,0.023360906324452348
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,194812.02342331584,8117.16764263816,0.8556298589146754,24,1.1603362186847286,3.0784059915321427,1936.479763410216,9.843693060908555,0.9991917857318556,1.2359576752234491,0.023360906324452348
t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,194032.79634683044,8084.699847784602,0.8933983569889341,24,1.261746892930484,3.335010357213492,1847.1966429933782,9.923322884618562,0.9989497224913307,2.159443401291529,0.03034034423750758
t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,193912.79634683044,8079.699847784602,0.8927813966025558,24,1.2617784311564972,3.33512130865693,1847.3299639035934,9.923322884618562,0.9989497224913307,2.159443401291529,0.03034034423750758
proxy_clv|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,191597.08091829834,7983.211704929097,0.8866682109812878,24,0.9966038252213199,2.6014245246052794,1837.8534893799108,10.734239256069266,0.9987542033926882,3.8416466765098956,0.1482685300536723
proxy_clv|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,191496.58091829834,7979.024204929097,0.8861400204012729,24,0.9965053983802115,2.601399749087885,1837.984357007723,10.734239256069266,0.9987542033926882,3.8416466765098956,0.1482685300536723
eb_shrinkage_skill|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,187034.09929395217,7793.08747058134,0.8592055688988857,24,1.5007619729766783,4.278324880753007,1851.4280822093897,9.651839915714481,0.9992511119359734,1.9037052841988273,0.06055574006420901
eb_shrinkage_skill|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,186933.59929395217,7788.89997058134,0.8586668472636105,24,1.5005030808008395,4.277516442638054,1851.5941937884472,9.651839915714481,0.9992511119359734,1.9037052841988273,0.06055574006420901
eb_shrinkage_skill|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,181496.16166526647,7562.340069386103,0.8401673759507008,24,1.5100646129321837,4.295961081083399,1837.3198564986917,9.55230448976249,0.9992421796231985,1.2663680819659413,0.03735724970510903
eb_shrinkage_skill|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,181394.91166526647,7558.121319386103,0.8396339299631554,24,1.5098295430492488,4.295264764184411,1837.4615398720575,9.55230448976249,0.9992421796231985,1.2663680819659413,0.03735724970510903
eb_shrinkage_skill|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,176446.22842867108,7351.926184527962,0.7992360527921386,24,1.5031100113343416,4.251045580491389,1877.6751161090601,9.54384619975327,0.9992597551398741,0.8246227200574084,0.022947590663903086
eb_shrinkage_skill|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,176345.72842867108,7347.738684527962,0.7987149663440856,24,1.50291783288126,4.25068962840652,1877.829941301905,9.54384619975327,0.9992597551398741,0.8246227200574084,0.022947590663903086
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,133781.21837374705,5574.21743223946,0.9318611871328701,24,1.2008156966580494,3.24229770738579,1221.0320425445227,8.810325884041925,0.999279143491403,0.7288168627307879,0.02375549857876586
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,133666.46837374705,5569.43618223946,0.9310034547575848,24,1.200779465655407,3.2425294660252026,1221.1086804392548,8.810325884041925,0.999279143491403,0.7288168627307879,0.02375549857876586
