wallet,profile,in_cohort,csv_reason,csv_distinct_markets,tombstone_reason,tombstone_purged_at_unix,archive_manifest_purged_at_unix,archive_is_infra,archive_is_active,archive_discovered_at_unix,archive_trades,archive_first_ts,archive_last_ts,min_500_window_secs,dense_windows,oldest500_span_secs,newest500_span_secs,at_purge_page_hours,current_page_hours,recaptured_full_pages,recaptured_min_span_hours,recaptured_any_fires,sampled_n,sampled_t_proxy,both_outcomes_fraction,exclusion_verdict,follower_eligibility
0x1b912b17581b3d544431d13d5a060155a80127dc,Diceman11,True,breadth>=2000,2726,infra,1784530028,1784530028,1,0,1778877276,1762,1678180105,1779090045,1548416,0,92282224,1678431,1184.8222222222223,293.4627777777778,0,,False,53,5.915816761261018,0.0,recommend reclassification for requalification,not established
0xfd8e46519d0a8f9c35e5010ef4e7f56f7583aea4,oleksiyz,True,breadth>=2000,4974,infra,1784747039,1784530028,1,0,1778877276,31990,1769534525,1779079308,40068,0,1824436,292311,125.62666666666667,46.2,0,,False,885,5.5750389659562725,0.0,recommend reclassification for requalification,not established
0x72e1597864456eda62878413cf3e60c332e4a45d,ArbTraderRookie,True,breadth>=2000,2680,infra,1784747039,1784530028,1,0,1778877276,5550,1762867271,1779144204,242860,0,5500887,1291076,52.37166666666667,56.1075,0,,False,34,4.641707851135215,0.20588235294117646,recommend reclassification for requalification,not established
0x0bf96a1c55e6f47ea84335bc3fc08a89653efd90,alboto,True,breadth>=2000,14318,infra,1784530028,1784530028,1,0,1778877276,25603,1771302919,1779130902,18316,0,657593,91413,25.916666666666668,18.749444444444446,0,,False,27,4.17770721454009,0.0,recommend reclassification for requalification,not established
0x5a3354a0a35d00d2a1dbe6cea0e37e9c30a2ca0d,0x5a3354a0A35d00d2A1DBE6Cea0e37e9c30A2Ca0D-1769069975945,True,breadth>=2000,2707,infra,1784747039,1784530028,1,0,1778877276,3148,1769071224,1779112982,5218,0,6005567,3008563,2383.6627777777776,2127.275833333333,0,,False,176,3.0933572577804247,0.0,recommend reclassification for requalification,not established
0xdf6539d1fadb951a02a999d31a72e0cd7fd9c36d,nndk,True,breadth>=2000,7258,infra,1784747039,1784530028,1,0,1778877276,0,,,,,,,1.1377777777777778,10.629444444444445,6,1.233,False,22,3.046267314735377,0.8636363636363636,unresolved: never ingested,not established
0xb7ab821f037a4c8deb9b23b8001a4be985d116d0,funfacts,True,breadth>=2000,2077,infra,1784747039,1784530028,1,0,1778877276,5943,1776174407,1779140642,127663,0,268197,203206,20.568055555555556,23.901666666666667,0,,False,258,2.7942715579996986,0.24806201550387597,recommend reclassification for requalification,not established
0x057621bea5fc03a53af38530c95b17a510716232,gnuisnot,True,breadth>=2000,3199,infra,1784530028,1784530028,1,0,1778877276,2711,1769188558,1779148869,595142,0,2352710,3149626,272.1511111111111,861.4644444444444,0,,False,30,2.788600040231386,0.0,recommend reclassification for requalification,not established
0xc561b14904d769eda31628082c005362ba60dc22,,True,breadth>=2000,4970,infra,1784747039,1784530028,1,0,1778877276,0,,,,,,,2641.4880555555555,3837.681111111111,7,64.007,False,22,2.604564582873683,0.0,unresolved: never ingested,not established
0x9fbfe50bf171adaa347a5cb2b789b4a6e12ef003,prob1,True,breadth>=2000,23053,infra,1784747039,1784530028,1,0,1778877276,35023,1760363097,1779121816,39110,0,3130214,985286,29.1275,16.011111111111113,0,,False,464,2.538391349865324,0.0021551724137931034,recommend reclassification for requalification,not established
0x31646b754f77b973910e7376b7015cb81fe83c65,Mr.Z.,True,breadth>=2000,4107,infra,1784530028,1784530028,1,0,1778877276,4597,1720959677,1779071276,478425,0,50484673,512691,104.46222222222222,232.85694444444445,0,,False,214,2.434162389515494,0.0,recommend reclassification for requalification,not established
0x38d812aff0b79f3bf5da2a477f780bcc163eea7c,thanksforplayin,True,breadth>=2000,14155,infra,1784530028,1784530028,1,0,1778877276,0,,,,,,,49.096666666666664,22.925,13,3.476,False,141,2.410781974102201,0.2978723404255319,unresolved: never ingested,not established
0x9c76cdb43fb46454da005fbc82047a64a18ec926,Bagwell306,True,breadth>=2000,12861,infra,1784747039,1784530028,1,0,1778877276,23022,1766029678,1779133194,5034,0,844721,211321,87.86972222222222,225.23611111111111,0,,False,92,2.3960557310212827,0.010869565217391304,recommend reclassification for requalification,not established
0xdc5bd11896bfb0fb335dad88d99a7e9a6bc3f102,ztao,True,breadth>=2000,5117,infra,1784747039,1784530028,1,0,1778877276,3035,1744939121,1779149475,3423853,0,9814094,4054574,934.6033333333334,345.2272222222222,0,,False,20,2.3647817250893,0.0,recommend reclassification for requalification,not established
0x330f6bf24e33d8348593bca54017ce83423791b1,Odaily-Draven,False,,,proven_loser,1781996428,,,,,0,,,,,,,244.76694444444445,294.2686111111111,0,,False,38,2.332075629292892,0.0,context (not in cohort),not established
0x1f19c48aee80ec95396d91f0d21ac249b8a7f57a,godspeed11,True,breadth>=2000,5701,infra,1784530028,1784530028,1,0,1778877276,113883,1774900805,1779106948,696,30127,22722,102555,1.273611111111111,13.985,0,,False,29,2.3195543886388754,0.9310344827586207,retain with evidence,not established
0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,True,breadth>=2000,3508,infra,1784530028,1784530028,1,0,1778877276,69142,1774380967,1779116869,16,1565,502846,11190,4.601388888888889,5.695833333333334,0,,False,396,2.3097145931047263,0.8939393939393939,retain with evidence,not established
0x88ec5ba618625d744988f87ab577be53b382ec61,,False,,,infra,1787202309,1787202309,1,1,1778877276,0,,,,,,,1.7683333333333333,1.4758333333333333,0,,False,62,2.309644455812717,0.8387096774193549,context (not in cohort),not established
0xdfe29d6ef2a44606cf58967e1fd5854d9e594902,0xDFE29d6eF2A44606CF58967E1fD5854d9e594902-1769913988826,True,breadth>=2000,11561,infra,1784747039,1784530028,1,0,1778877276,31827,1769928032,1779028814,7786,0,993765,677147,48.29416666666667,16.871111111111112,0,,False,23,2.2152210235444216,0.043478260869565216,recommend reclassification for requalification,not established
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,huskyvs,True,breadth>=2000,2065,infra,1784747039,1784530028,1,0,1778877276,5581,1762360153,1779128167,372274,0,9515399,1338119,118.6075,57.8575,0,,False,114,2.185258375301265,0.03508771929824561,recommend reclassification for requalification,not established
0xc33d6aa3eb972639f31e46a6a02201cece380d40,penguinec,True,breadth>=2000,3934,infra,1784747039,1784530028,1,0,1778877276,13835,1767708651,1779135378,52937,0,5848612,103881,68.2525,121.47055555555555,0,,False,63,2.125632033143613,0.6825396825396826,recommend reclassification for requalification,not established
0xa8ae2fb989de545c42c376d61ec887868ca57f3e,ExBeZuZep,True,breadth>=2000,3136,infra,1784747039,1784530028,1,0,1778877276,6956,1752586463,1779130373,185645,0,9085622,881238,1078.7897222222223,311.93,0,,False,36,2.1062016040816594,0.0,recommend reclassification for requalification,not established
0x4e9e342ff236323b43f79c0da642a82bd12f0c30,0x4e9E342ff236323b43f79C0da642A82bD12F0C30-1772024386281,True,breadth>=2000,7709,infra,1784530028,1784530028,1,0,1778877276,6542,1772060684,1779140684,239424,0,1290563,501282,103.00027777777778,172.16611111111112,0,,False,20,2.098627131660696,0.0,recommend reclassification for requalification,not established
0xdb5ad26b68d77ae966d29e7180147272ab7a3965,0xDB5,True,breadth>=2000,7820,infra,1784747039,1784530028,1,0,1778877276,0,,,,,,,26.29,20.371666666666666,13,4.946,False,195,2.0964455638839494,0.841025641025641,unresolved: never ingested,not established
0x5215b36ebe0f78b3114eb998ca8ade49402ab02f,haveseendate,False,,,proven_loser,1787501078,1787501078,0,1,1778877276,3724,1777635576,1787382295,115220,0,2848847,128064,32.98111111111111,17.849444444444444,0,,False,27,2.059077099598986,0.0,context (not in cohort),not established
0x8f1dfd0868d056f11f84e0233e1b89527c262fb6,wapol-E,True,breadth>=2000,6167,infra,1784747039,1784530028,1,0,1778877276,22290,1774989145,1779130160,23046,0,140742,44165,58.29,365.67861111111114,0,,False,22,2.0550796762859718,0.045454545454545456,recommend reclassification for requalification,not established
0xc7d02944a76b9f83b199e9090ecc92c82d241f8a,0xc7D02944A76B9F83B199e9090ECC92C82d241F8a-1776944395495,True,breadth>=2000,3158,infra,1784747039,1784530028,1,0,1778877276,7424,1776962870,1779139248,45850,0,494984,64173,2.4691666666666667,32.40694444444444,0,,False,224,2.020517892360698,0.4017857142857143,recommend reclassification for requalification,not established
